,local,lista,precos,resumo,site,data_pesquisa
0,,Qno 11 Casa Frente E Fundo Oferta,R$ 1.200,,,2020-07-26 01:41:39.366031
1,,"Casa para Aluguel - Ceilândia, 3 Quartos, 144 m²",R$ 1.200,,,2020-07-26 01:41:39.366031
2,,Casa 02 Quartos 1° Pavimento Grg,R$ 2.000,,,2020-07-26 01:41:39.366031
3,,"Casa para Aluguel - Asa Norte, 4 Quartos, 185 m²",R$ 5.200,,,2020-07-26 01:41:39.366031
4,,Casa - Residencial Santos Dumont,R$ 2.600,,,2020-07-26 01:41:39.366031
5,,"Casa Com 4 Dormitórios para Alugar, 354 m² Por R$4.300,00/mês - Taguatinga Norte - Taguatinga/df",R$ 4.300,,,2020-07-26 01:41:39.366031
6,,Shis Ql 02 Casa Térrea Com 9 Qts Sendo 4 Suítes 730 m² Construído!,R$ 13.500,,,2020-07-26 01:41:39.366031
7,,Casa para Alugar Com 3 Quartos,R$ 3.600,,,2020-07-26 01:41:39.366031
8,,Qr 122 - Sobrado 4 Quartos Suíte,R$ 2.400,,,2020-07-26 01:41:39.366031
9,,Quadra Qr 608 Conjunto 9 - Samambaia Norte,R$ 1.300,,,2020-07-26 01:41:39.366031
10,,Ótima Casa em Condomínio Fechado no Park Way,R$ 20.000,,,2020-07-26 01:41:39.366031
11,,Casa Shis Qi 11 Lago Sul Aluguel,R$ 9.000,,,2020-07-26 01:41:39.366031
12,,Casa Térrea Com Terraço,R$ 1.500,,,2020-07-26 01:41:39.366031
13,,Aluga - Se Casa Nova E Moderna 5 Minutos Da Ponte Jk,R$ 4.800,,,2020-07-26 01:41:39.366031
14,,"Casa para Aluguel - Asa Norte, 3 Quartos, 150 m²",R$ 3.600,,,2020-07-26 01:41:39.366031
15,,"Sobrado Com 3 Dormitórios para Alugar, 290 m² Por R$2.300/mês - Jardim Atlântico - Goiânia/go",R$ 2.300,,,2020-07-26 01:41:39.366031
16,,Alugo Casa 3 Quartos - Gama - Q. 03 Sul,R$ 1.700,,,2020-07-26 01:41:39.366031
17,,"Casa para Aluguel - Vicente Pires I, 4 Quartos, 354 m²",R$ 4.300,,,2020-07-26 01:41:39.366031
18,,Casa - Núcleo Bandeirante,R$ 2.510,,,2020-07-26 01:41:39.366031
19,,Shis Ql 4,R$ 12.500,,,2020-07-26 01:41:39.366031
20,,Shis Qi 5 Térrea!,R$ 11.000,,,2020-07-26 01:41:39.366031
21,,"Shis Qi 26 - Maravilhosa Casa Moderna, Mobiliada",R$ 26.500,,,2020-07-26 01:41:39.366031
22,,Alugo Casa De 02 Quartos no Cond. Nova Digneia II Conj. I Sobradinho - Df,R$ 600,,,2020-07-26 01:41:39.366031
23,,"Casa para Aluguel - Setor Sul, 3 Quartos, 70 m²",R$ 1.401,,,2020-07-26 01:41:39.366031
24,,"Casa no Condomínio Estancia Quintas Da Alvorada, 141 m² Por R$3.800/mês - Setor Habitacional Jardim",R$ 3.800,,,2020-07-26 01:41:39.366031
25,,Casa para Aluguel - em Samambaia Norte,R$ 1.650,,,2020-07-26 01:41:39.366031
26,,"Casa para Aluguel - Ceilândia, 2 Quartos, 60 m²",R$ 680,,,2020-07-26 01:41:39.366031
27,,"Casa para Aluguel - Samambaia, 2 Quartos, 45 m²",R$ 900,,,2020-07-26 01:41:39.366031
28,,"Casa para Aluguel - Samambaia, 1 Quarto, 40 m²",R$ 700,,,2020-07-26 01:41:39.366031
29,,Casa Jardim Botânico 3 Qts 3 Suítes Casa Nova E Reformada!,R$ 5.250,,,2020-07-26 01:41:39.366031
30,,"Qsd 17 - Casa Com 4 Dormitórios para Alugar, 155 m² - Taguatinga Sul /df",R$ 3.500,,,2020-07-26 01:41:39.366031
31,,"Qsd 26 - Casa Com 3 Dormitórios para Alugar, 110 m² - Taguatinga Sul /df",R$ 2.000,,,2020-07-26 01:41:39.366031
32,,Qnl 01 Boloco I 3 Quartos,R$ 1.200,,,2020-07-26 01:41:39.366031
33,,Casa na Qi 01 Do Lago Sul,R$ 20.000,,,2020-07-26 01:41:39.366031
34,,Casa - Locação - Qi 05 - Lago Sul,R$ 11.000,,,2020-07-26 01:41:39.366031
35,,"Casa Com 3 Dormitórios para Alugar, 100 m² Por R$1.000/mês - Taguatinga Norte - Taguatinga/df",R$ 1.000,,,2020-07-26 01:41:39.366031
36,,"Casa Com 4 Dormitórios para Alugar, 423 m² Por R$4.000/mês - Taguatinga Sul - Taguatinga/df",R$ 4.000,,,2020-07-26 01:41:39.366031
37,,"Casa para Aluguel - Ceilândia, 2 Quartos, 70 m²",R$ 970,,,2020-07-26 01:41:39.366031
38,,"Casa para Aluguel - Setor Leste Vila Nova, 1 Quarto, 23 m²",R$ 730,,,2020-07-26 01:41:39.366031
39,,Shcgn 707 Asa Norte Casa 6 Qts 4 Suítes 470 m² Com 3 Vagas De Garagem!,R$ 6.000,,,2020-07-26 01:41:39.366031
40,,"Casa para Aluguel - Taguatinga, 2 Quartos, 60 m²",R$ 1.060,,,2020-07-26 01:41:39.366031
41,,"Sobrado Com 2 Dormitórios para Alugar, 200 m² Por R$1.700,00/mês - Setor Jaó - Goiânia/go",R$ 1.700,,,2020-07-26 01:41:39.366031
42,,"Casa Residencial para Locação, Guará II, Guará.",R$ 1.600,,,2020-07-26 01:41:39.366031
43,,"Casa Com 1 Dormitório para Alugar, 70 m² Por R$1.000,00/mês - Setor Coimbra - Goiânia/go",R$ 1.000,,,2020-07-26 01:41:39.366031
44,,"Casa Com 2 Dormitórios para Alugar, 80 m² Por R$850,00/mês - Setor Aeroporto - Goiânia/go",R$ 850,,,2020-07-26 01:41:39.366031
45,,"Casa Com 3 Dormitórios para Alugar, 200 m² Por R$2.400,00/mês - Setor Sul - Goiânia/go",R$ 2.400,,,2020-07-26 01:41:39.366031
46,,"Casa Com 4 Dormitórios para Alugar, 200 m² Por R$1.400,00/mês - Feliz - Goiânia/go",R$ 1.400,,,2020-07-26 01:41:39.366031
47,,"Sobrado Com 3 Dormitórios, 178 m² - Venda Por R$567.000ou Aluguel Por R$1.850,00/mês - Jardim",R$ 1.850,,,2020-07-26 01:41:39.366031
48,,"Casa Com 2 Dormitórios para Alugar, 60 m² Por R$1.000,00/mês - Setor Leste Universitário - Goiânia/",R$ 1.000,,,2020-07-26 01:41:39.366031
49,,"Casa Com 2 Dormitórios para Alugar, 50 m² Por R$700,00/mês - Setor Garavelo - Aparecida De Goiânia/",R$ 700,,,2020-07-26 01:41:39.366031
50,,Qr 02 Candangolândia,R$ 1.150,,,2020-07-26 01:41:39.366031
51,,"Casa Com 3 Dormitórios para Alugar, 340 m² Por R$3.200,00/mês - Setor Leste Universitário - Goiânia",R$ 3.200,,,2020-07-26 01:41:39.366031
52,,"Casa Com 2 Dormitórios para Alugar, 100 m² Por R$900,00/mês - Setor Sul - Goiânia/go",R$ 900,,,2020-07-26 01:41:39.366031
53,,"Casa Com 5 Dormitórios para Alugar, 240 m² Por R$5.200,00/mês - Setor Marista - Goiânia/go",R$ 5.200,,,2020-07-26 01:41:39.366031
54,,"Casa Com 3 Dormitórios para Venda, 288 m² Por R$650.000 - Setor Coimbra - Goiânia/go",R$ 2.500,,,2020-07-26 01:41:39.366031
55,,"Casa Com 3 Dormitórios para Alugar, 200 m² Por R$1.800/mês - Setor Pedro Ludovico - Goiânia/go",R$ 1.800,,,2020-07-26 01:41:39.366031
56,,Casa - Região Dos Lagos,R$ 2.500,,,2020-07-26 01:41:39.366031
57,,"Casa Com 3 Dormitórios para Alugar, 100 m² Por R$1.200,00/mês - Jardim América - Goiânia/go",R$ 1.200,,,2020-07-26 01:41:39.366031
58,,Aluga - Se Casa Condomínio Estância Quintas Alvorada,R$ 3.500,,,2020-07-26 01:41:39.366031
59,,"Casa para Aluguel - Coimbra, 4 Quartos, 200 m²",R$ 2.300,,,2020-07-26 01:41:39.366031
60,,"Casa Com 2 Dormitórios para Alugar, 60 m² Por R$800,00/mês - Setor Sul - Goiânia/go",R$ 800,,,2020-07-26 01:41:39.366031
61,,"Casa Com 2 Dormitórios para Alugar, 60 m² Por R$900,00/mês - Setor Coimbra - Goiânia/go",R$ 900,,,2020-07-26 01:41:39.366031
62,,"Casa Com 3 Dormitórios para Alugar, 100 m² Por R$1.200/mês - Samambaia Norte - Samambaia/df",R$ 1.200,,,2020-07-26 01:41:39.366031
63,,"Shis Qi 03, Excelente Oportunidade!",R$ 13.000,,,2020-07-26 01:41:39.366031
64,,Casa Comercial Setor Sul,R$ 6.000,,,2020-07-26 01:41:39.366031
65,,Qnp 18 Conjunto I 02 Quartos,R$ 800,,,2020-07-26 01:41:39.366031
66,,Casa para Alugar Com 3 Quartos,R$ 2.000,,,2020-07-26 01:41:39.366031
67,,Casa 3 Quartos na Qr 406,R$ 900,,,2020-07-26 01:41:39.366031
68,,"Shis Qi 27 - Maravilhosa Casa, 4 Dormitórios, Semi - Mobiliada - Lago Sul - Brasília/df",R$ 13.500,,,2020-07-26 01:41:39.366031
69,,Venda Ou Aluguel Casa 714 Asa Sul Recém Construída,R$ 9.800,,,2020-07-26 01:41:39.366031
70,,Casa para Aluguel - Gama Setor Leste,R$ 1.600,,,2020-07-26 01:41:39.366031
71,,Casa para Alugar Com 3 Quartos,R$ 2.000,,,2020-07-26 01:41:39.366031
72,,"Casa para Aluguel - Vicente Pires I, 2 Quartos, 80 m²",R$ 780,,,2020-07-26 01:41:39.366031
73,,"Casa para Aluguel - Ceilândia, 1 Quarto, 50 m²",R$ 500,,,2020-07-26 01:41:39.366031
74,,"Casa Com 6 Dormitórios para Alugar, 600 m² - Park Way - Brasília/df",R$ 7.500,,,2020-07-26 01:41:39.366031
75,,Shis Ql 02 - 2 - Casa Mobiliada + Ampla Área Verde (Lote Vazado),R$ 13.000,,,2020-07-26 01:41:39.366031
76,,Condomínio Ouro Vermelho 2,R$ 4.500,,,2020-07-26 01:41:39.366031
77,,"Casa Com 9 Quartos, Ql 02, Conj. 3",R$ 13.500,,,2020-07-26 01:41:39.366031
78,,"St Mansões Qms 42 Casa 03 Qts + Qt Nos Fundos, Sozinha",R$ 1.600,,,2020-07-26 01:41:39.366031
79,,Casa - Setor De Habitações Individuais Sul,R$ 11.000,,,2020-07-26 01:41:39.366031
