,titulo,caracteristicas,precos,endereco,rua,bairro,cidade,data_pesquisa
0,Shis Qi 7 Moderna!,900 m² área total 700 m² área útil 4 Quartos 7 Banheiros 7 Vagas,R$ 27.000,"SHIS QI 7, Setor de Habitações Individuais Sul, Brasília",,,,27-07-20
1,Casinha De Fundo na Qe 04 Conjunto G,90 m² área total 75 m² área útil 2 Quartos 1 Banheiro,R$ 1.000,"QE 4 Conjunto G , Guara I, Guará",,,,27-07-20
2,Casa - Setor Habitacional Jardim Botânico,320 m² área total 197 m² área útil 3 Quartos 2 Vagas,R$ 2.800,"CONDOMÍNIO JARDIM BOTÂNICO VI, Setor Habitacional Jardim Botânico, Brasília",,,,27-07-20
3,Casa - Jardim Goias,70 m² área total 3 Quartos 4 Vagas,R$ 1.200,"Jardim Goiás, Rio Verde",,,,27-07-20
4,Casa - Jardim Califórnia,250 m² área total 3 Quartos 2 Vagas,R$ 2.200,"Jardim Califórnia, Formosa",,,,27-07-20
5,Condomínio Estância Jardim Botânico,800 m² área total 400 m² área útil 3 Quartos 5 Banheiros,R$ 6.500,"Setor Habitacional Jardim Botânico, Brasília",,,,27-07-20
6,Sobrado Comercial Marista,587 m² área total 221 m² área útil 0 Quartos 3 Banheiros 2 Vagas,R$ 5.500,"Rua T 53 , Setor Marista, Goiânia",,,,27-07-20
7,"Casa Com 4 Dormitórios para Alugar, 410 m² Por R$2.500,00/mês - Sobradinho - Sobradinho/df",525 m² área total 410 m² área útil 4 Quartos 5 Vagas,R$ 2.500,"Quadra Quadra 6 Conjunto B 4, Sobradinho, Sobradinho",,,,27-07-20
8,Casa para Aluguel - no Lago Norte,200 m² área total 159 m² área útil 4 Quartos 3 Banheiros 4 Vagas,R$ 3.500,"Lago Norte, Brasília",,,,27-07-20
9,"Alugo Smdb 32,magnifica, Vista Espetacular! (61)9.8294 - 1642",990 m² área total 495 m² área útil 5 Quartos 9 Banheiros 12 Vagas,R$ 50.000,"Lago Sul, Brasília",,,,27-07-20
10,"Casa para Aluguel - Ceilândia, 2 Quartos, 144 m²",144 m² área total 144 m² área útil 2 Quartos 1 Banheiro 3 Vagas,R$ 1.200,"Qno 6, Ceilandia Centro, Ceilândia",,,,27-07-20
11,Qno 11 Casa Frente E Fundo Oferta,120 m² área total 120 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 1.200,"QNO 11, Ceilandia Norte, Ceilândia",,,,27-07-20
12,Casa - Residencial Santos Dumont,250 m² área total 6 Quartos 5 Banheiros 6 Vagas,R$ 2.600,"Residencial Santos Dumont, Santa Maria",,,,27-07-20
13,"Casa para Aluguel - Asa Norte, 4 Quartos, 185 m²",185 m² área total 185 m² área útil 4 Quartos 3 Banheiros 1 Vaga,R$ 5.200,"Shcgn 706 Bloco C, Asa Norte, Brasília",,,,27-07-20
14,Casa 02 Quartos 1° Pavimento Grg,65 m² área total 65 m² área útil 2 Quartos 1 Vaga,R$ 2.000,"Asa Norte, Brasília",,,,27-07-20
15,"Casa Com 4 Dormitórios para Alugar, 354 m² Por R$4.300,00/mês - Taguatinga Norte - Taguatinga/df",800 m² área total 354 m² área útil 4 Quartos 4 Banheiros 1 Vaga,R$ 4.300,"Setor Setor Habitacional Vicente Pires 0, Taguatinga Norte, Taguatinga",,,,27-07-20
16,Shis Ql 02 Casa Térrea Com 9 Qts Sendo 4 Suítes 730 m² Construído!,4000 m² área total 730 m² área útil 9 Quartos 8 Banheiros 10 Vagas,R$ 13.500,"SHIS QL 2 Conjunto 3 SHIS QL 2 Conjunto 3, Setor de Habitações Individuais Sul, Brasília",,,,27-07-20
17,Qr 122 - Sobrado 4 Quartos Suíte,247 m² área total 247 m² área útil 4 Quartos 3 Banheiros 2 Vagas,R$ 2.400,"QD Qr 122 , Samambaia Sul, Samambaia",,,,27-07-20
18,Casa para Alugar Com 3 Quartos,150 m² área total 150 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 3.600,"Quadra SHCGN 704 Bloco F 21, Asa Norte, Brasília",,,,27-07-20
