,titulo,caracteristicas,precos,endereco,rua,bairro,cidade,data_anuncio,link,data_pesquisa
0,"Casa para Aluguel - Taguatinga, 2 Quartos, 60 m²",60 m² área total 60 m² área útil 2 Quartos 1 Banheiro,R$ 850,"Setor L Norte Qnl 28, Taguatinga Centro, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-taguatinga-2-quartos-60-m-sup2-2950537168.html,30-07-20
1,Casa Rua 3 Vicente Pires 3 Qts Sendo 2 Suítes 230 m² Com 5 Vagas!,430 m² área total 230 m² área útil 3 Quartos 5 Banheiros 5 Vagas,R$ 3.900,"Vicente Pires, Vicente Pires",,,,,https://www.wimoveis.com.br/propriedades/casa-rua-3-vicente-pires-3-qts-sendo-2-suites-230-2950544246.html,30-07-20
2,Casa em Condomínio para Aluguel em Região Dos Lagos Sobradinho - Df,48 m² área total 48 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 700,"Região Dos Lagos, Sobradinho",,,,,https://www.wimoveis.com.br/propriedades/casa-em-condominio-para-aluguel-em-regiao-dos-lagos-2950538656.html,30-07-20
3,Alugo Casa no Condomínio Estância Quintas Da Alvorada,690 m² área total 230 m² área útil 3 Quartos 4 Banheiros 5 Vagas,R$ 5.500,"Setor Habitacional Jardim Botânico, Brasília",,,,,https://www.wimoveis.com.br/propriedades/alugo-casa-no-condominio-estancia-quintas-da-alvorada-2950544360.html,30-07-20
4,Qe 26 Conjunto R,200 m² área total 200 m² área útil 5 Quartos 2 Banheiros 1 Vaga,R$ 3.900,"Quadra QE 26 Conjunto R 0, Guara II, Guará",,,,,https://www.wimoveis.com.br/propriedades/qe-26-conjunto-r-2950551196.html,30-07-20
5,Alugo Casa 2 Quartos E Garagem,128 m² área total 128 m² área útil 2 Quartos 1 Banheiro 2 Vagas,R$ 950,"Q 6 CONJUNTO 6H 45, Jardim Roriz, Planaltina",,,,,https://www.wimoveis.com.br/propriedades/alugo-casa-2-quartos-e-garagem-2950542152.html,30-07-20
6,Casa - Centro,250 m² área total 60 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 400,"Rua Americano do Brasil, Centro, Uruaçu",,,,,https://www.wimoveis.com.br/propriedades/casa-centro-2950543459.html,30-07-20
7,Casa - Setor Sudoeste,100 m² área total 80 m² área útil 2 Quartos 2 Banheiros 2 Vagas,R$ 850,"Rua C 54, s/n, Setor Sudoeste, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-setor-sudoeste-2950536370.html,30-07-20
8,"Casa para Alugar, 2000 m² Por R$80.000,00/mês - Setor De Habitações Individuais Sul - Brasília/df",10000 m² área total 2000 m² área útil 5 Quartos 10 Vagas,R$ 80.000,"Lago Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-para-alugar-2000-m-sup2--por-r$80.000-00-mes-2950532671.html,30-07-20
9,Ligue Agora E Agende Sua Visita (61) 99300 - 4206 - Excelente Casa para Locação,100 m² área total 80 m² área útil 3 Quartos 1 Banheiro 1 Vaga,R$ 2.300,"QD Qnd 10, Taguatinga Norte, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/ligue-agora-e-agende-sua-visita-61-99300-4206-2950517436.html,30-07-20
