,titulo,caracteristicas,precos,endereco,rua,bairro,cidade,data_anuncio,link,data_pesquisa
0,"Apartamento para Aluguel - Taguatinga, 1 Quarto, 26 m²",26 m² área total 26 m² área útil 1 Quarto 1 Banheiro,R$ 520,"Splm Conjunto 9, Taguatinga Centro, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/apartamento-para-aluguel-taguatinga-1-quarto-26-2949920947.html,30-07-20
1,"Apartamento para Aluguel - Asa Sul, 3 Quartos, 108 m²",108 m² área total 108 m² área útil 3 Quartos 2 Banheiros 1 Vaga,R$ 2.800,"Sqs 207, Asa Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/apartamento-para-aluguel-asa-sul-3-quartos-108-2950495648.html,30-07-20
2,Clsw 105 · Sala Comercial · Canto · Vista Livre,68 m² área total 68 m² área útil 2 Banheiros,R$ 6.000,"Quadra CLSW 105 Bloco B 0, Sudoeste, Brasília",,,,,https://www.wimoveis.com.br/propriedades/clsw-105-sala-comercial-canto-vista-livre-2950282701.html,30-07-20
3,Salas Comerciais em Águas Claras,2 plantas 32 a 35 m² área útil 32 a 35 m² área total,R$ 1.344,"Copaiba 1, Aguas Norte, Águas Claras",,,,,https://www.wimoveis.com.br/propriedades/salas-comerciais-em-aguas-claras-2948976042.html,30-07-20
4,"Apartamento para Aluguel - Setor Bueno, 3 Quartos, 76 m²",76 m² área total 76 m² área útil 3 Quartos 1 Banheiro 1 Vaga,R$ 850,"Rua T-57, Setor Bueno, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/apartamento-para-aluguel-setor-bueno-3-quartos-76-2949610475.html,30-07-20
5,"Apartamento para Aluguel - Asa Sul, 3 Quartos, 80 m²",80 m² área total 80 m² área útil 3 Quartos 2 Banheiros,R$ 2.500,"Sqs 414, Asa Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/apartamento-para-aluguel-asa-sul-3-quartos-80-2950471154.html,30-07-20
6,Excelente Oportunidade De Loja Comercial em Águas Claras,37 m² área total 37 m² área útil 0 Banheiros 1 Vaga,R$ 1.000,"RUA 25 SUL BLOCO B LT. 30 110, Aguas Sul, Águas Claras",,,,,https://www.wimoveis.com.br/propriedades/excelente-oportunidade-de-loja-comercial-em-aguas-2948310619.html,30-07-20
7,Salas Comerciais no Connect Towers,4 plantas 36 a 51 m² área útil 36 a 51 m² área total,R$ 1.440,"Quadra QS 1 Rua 212 212, Areal, Águas Claras",,,,,https://www.wimoveis.com.br/propriedades/salas-comerciais-no-connect-towers-2948976032.html,30-07-20
8,"Apartamento para Aluguel - Taguatinga, 2 Quartos, 52 m²",52 m² área total 52 m² área útil 2 Quartos 2 Banheiros 1 Vaga,R$ 1.100,"Qi 24 Lote 01/13, Taguatinga Centro, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/apartamento-para-aluguel-taguatinga-2-quartos-52-2950561308.html,30-07-20
9,"Apartamento para Aluguel - Setor Bela Vista, 2 Quartos, 66 m²",66 m² área total 66 m² área útil 2 Quartos 2 Banheiros 1 Vaga,R$ 1.200,"Rua T 65, Esq Com A Rua S 5, Setor Bela Vista, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/apartamento-para-aluguel-setor-bela-vista-2-2949708841.html,30-07-20
10,"Apartamento para Aluguel - Vila Rosa, 2 Quartos, 50 m²",50 m² área total 50 m² área útil 2 Quartos 2 Banheiros 1 Vaga,R$ 850,"Avenida Francisco de Melo, Vila Rosa, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/apartamento-para-aluguel-vila-rosa-2-quartos-50-2946732059.html,30-07-20
11,Loja Terrea Com Subsolo 303 Asa Norte,55 m² área total 55 m² área útil 0 Banheiros,R$ 3.500,"Asa Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/loja-terrea-com-subsolo-303-asa-norte-2932626189.html,30-07-20
12,Quadra Qi 14 Bloco G,50 m² área total 50 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 860,"Quadra QI 14 BLOCO G, Guara I, Guará",,,,,https://www.wimoveis.com.br/propriedades/quadra-qi-14-bloco-g-111483120.html,30-07-20
13,"Loja para Alugar, 228 m² Por R$10.000/mês - Asa Sul - Brasília/df",228 m² área total 228 m² área útil,R$ 10.000,"Asa Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/loja-para-alugar-228-m-sup2--por-r$10.000-mes-asa-2945034669.html,30-07-20
14,"Casa para Aluguel - Taguatinga, 2 Quartos, 60 m²",60 m² área total 60 m² área útil 2 Quartos 1 Banheiro,R$ 850,"Setor L Norte Qnl 28, Taguatinga Centro, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-taguatinga-2-quartos-60-m-sup2-2950537168.html,30-07-20
15,"Qi 10, Prédio Novo, Galpão S/condomínio: St. Industrial De Taguatinga",1500 m² área total 1500 m² área útil 5 Banheiros 8 Vagas,R$ 28.000,"QI 10 40/42 Próximo Feirão dos Goianos Setor Industrial de Taguatinga, Setor Industrial, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/qi-10-predio-novo-galpao-s-condominio:-st.-111517148.html,30-07-20
16,"Asa Sul - Flat no Complexo The Union, Com 44,80 m², 1 Vaga, Frente Ao Park Shopping, Ao Lado Da Leroy",45 m² área total 44 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 2.600,"Quadra SMAS TRECHO, Setores Complementares, Brasília",,,,,https://www.wimoveis.com.br/propriedades/asa-sul-flat-no-complexo-the-union-com-44-80-2931635506.html,30-07-20
17,"Prédio para Alugar, 2150 m² Por R$55.000,00/mês - Sia - Brasília/df",2000 m² área total 2150 m² área útil 30 Vagas,R$ 55.000,"Centro, Brasília",,,,,https://www.wimoveis.com.br/propriedades/predio-para-alugar-2150-m-sup2--por-r$55.000-00-mes-2948330056.html,30-07-20
18,"Apartamento para Aluguel - Setor Oeste, 3 Quartos, 127 m²",127 m² área total 127 m² área útil 3 Quartos 3 Banheiros,R$ 2.500,"Rua 3, Setor Oeste, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/apartamento-para-aluguel-setor-oeste-3-quartos-127-2950558110.html,30-07-20
19,Sala Sia Trecho 02,1800 m² área total 1200 m² área útil 0 Banheiros,R$ 20.000,"Setor Industrial, Distrito Federal",,,,,https://www.wimoveis.com.br/propriedades/sala-sia-trecho-02-2945541804.html,30-07-20
20,"Asa Sul, Setor Bancário Sul 02 Bloco J, Edifício Carlton Tower",1466 m² área total 962 m² área útil 8 Banheiros 20 Vagas,R$ 75.000,"Setor Bancário Sul, Quadra 2, Bloco J Carlton Tower, Asa Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/asa-sul-setor-bancario-sul-02-bloco-j-edificio-111511590.html,30-07-20
21,Cln 411 Kitnet Com 1 Dormitório para Locação Asa Norte Df,27 m² área total 27 m² área útil 1 Quarto 1 Banheiro,R$ 750,"Quadra CLN 411 3, Asa Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/cln-411-kitnet-com-1-dormitorio-para-locacao-asa-norte-2947820361.html,30-07-20
22,Seps 713/913 Edificio Golden Place - Kitnet Mobiliada,28 m² área total 28 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 1.500,"SEPS 713/913 3º andar, Asa Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/seps-713-913-edificio-golden-place-kitnet-mobiliada-2946873851.html,30-07-20
23,Ed New York Sala 406 - B.,35 m² área total 35 m² área útil 1 Banheiro 1 Vaga,R$ 1.300,"Avenida 136, Setor Sul, Goiânia-GO , Setor Sul, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/ed-new-york-sala-406-b.-2948407280.html,30-07-20
24,"Apartamento Com 3 Dormitórios para Alugar, 100 m² Por R$1.700,00/mês - Alto Da Glória - Goiânia/go",100 m² área total 100 m² área útil 3 Quartos 3 Banheiros,R$ 1.700,"Alto da Glória, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/apartamento-com-3-dormitorios-para-alugar-100-m-sup2-2950400379.html,30-07-20
25,Alugo Sudoeste Mobiliado Direto Com Proprietário!,105 m² área total 95 m² área útil 3 Quartos 2 Banheiros 1 Vaga,R$ 3.700,"Sudoeste, Brasília",,,,,https://www.wimoveis.com.br/propriedades/alugo-sudoeste-mobiliado-direto-com-proprietario!-2950386227.html,30-07-20
26,Sqn 215 Ed. Constance - Asa Norte - Apto De 2 Quartos,70 m² área total 70 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 2.400,"SQN 215 BLOCO G CONSTANCE, Asa Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/sqn-215-ed.-constance-asa-norte-apto-de-2-quartos-2949542924.html,30-07-20
27,"Apartamento para Aluguel - Lago Norte, 2 Quartos, 58 m²",58 m² área total 58 m² área útil 2 Quartos 1 Banheiro,R$ 1.410,"Vila Varjão Q.6 Conjunto D Lote 9, Lago Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/apartamento-para-aluguel-lago-norte-2-quartos-58-2950346223.html,30-07-20
28,Lago Sul Shis Qi 05 * Totalmente Mobiliada,1000 m² área total 672 m² área útil 5 Quartos 9 Banheiros 4 Vagas,R$ 20.000,"Shis Qi 5, Lago Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/lago-sul-shis-qi-05-totalmente-mobiliada-2929818918.html,30-07-20
29,Galpão De Frente à Via Estrutural para Locação,2400 m² área total 460 m² área útil 6 Banheiros 40 Vagas,R$ 14.000,"SCIA QUADRA 10 CONJUNTO 2 7, Centro, Guará",,,,,https://www.wimoveis.com.br/propriedades/galpao-de-frente-a-via-estrutural-para-locacao-2949777526.html,30-07-20
30,Sqsw 301 Bloco G - Com Garagem!,70 m² área total 70 m² área útil 2 Quartos 1 Vaga,R$ 2.800,"QUADRA SQSW 301, Sudoeste, Brasília",,,,,https://www.wimoveis.com.br/propriedades/sqsw-301-bloco-g-com-garagem!-2948901947.html,30-07-20
31,Jardins Mangueiral Incrível 150 m² + Pé Direito Duplo Prédio Alto Padrão,250 m² área total 250 m² área útil 2 Banheiros 2 Vagas,R$ 15.000,"SHMA PA 01 LOTE 03 LOJA 02, Jardins Mangueiral, São Sebastião",,,,,https://www.wimoveis.com.br/propriedades/jardins-mangueiral-incrivel-150-m-sup2--pe-direito-2940635439.html,30-07-20
32,Ed West House Apto. 301,65 m² área total 65 m² área útil 2 Quartos 2 Banheiros 2 Vagas,R$ 1.700,"Rua 9 , Setor Oeste, Goiânia-GO , Setor Oeste, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/ed-west-house-apto.-301-2949021808.html,30-07-20
