,titulo,caracteristicas,precos,endereco,rua,bairro,cidade,data_anuncio,link,data_pesquisa
0,"Sobrado, 4 Quartos, Setor Sul",520 m² área total 291 m² área útil 4 Quartos 6 Banheiros 4 Vagas,R$ 6.000,"Rua 88B 73, Setor Sul, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/sobrado-4-quartos-setor-sul-2945042919.html,31-07-20
1,Aluga na Shis Ql 24 Ponta De Picolé. Marcos 98414 - 4977,1000 m² área total 1000 m² área útil 0 Quartos 9 Banheiros 10 Vagas,R$ 80.000,"Lago Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/aluga-na-shis-ql-24-ponta-de-picole.-marcos-98414-2948862245.html,31-07-20
2,Clsw 105 Bloco B - Ed Platinummall - Esquina - De Frente - 198 m² - Visite Agora - Loja - Ao Lado Ban,198 m² área total 198 m² área útil 2 Banheiros,R$ 17.400,"CLSW 105 BLOCO B LOJA 23, Sudoeste, Brasília",,,,,https://www.wimoveis.com.br/propriedades/clsw-105-bloco-b-ed-platinummall-esquina-de-2948940795.html,31-07-20
3,Salas Comerciais no Connect Towers,4 plantas 36 a 51 m² área útil 36 a 51 m² área total,R$ 1.440,"Quadra QS 1 Rua 212 212, Areal, Águas Claras",,,,,https://www.wimoveis.com.br/propriedades/salas-comerciais-no-connect-towers-2948976032.html,31-07-20
4,"Apartamento Residencial para Locação, Asa Norte, Brasília - Ap0789.",48 m² área total 48 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 2.300,"Setor SHTN 0, Asa Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/apartamento-residencial-para-locacao-asa-norte-2948997057.html,31-07-20
5,Apartamento Edifício Corum Com Garden - Clnw 10/11,45 m² área total 45 m² área útil 0 Quartos 1 Banheiro 1 Vaga,R$ 1.807,"Noroeste, Brasília",,,,,https://www.wimoveis.com.br/propriedades/apartamento-edificio-corum-com-garden-clnw-10-11-2946223910.html,31-07-20
6,"Qsd 17 - Casa Com 4 Dormitórios para Alugar, 155 m² - Taguatinga Sul /df",155 m² área total 155 m² área útil 4 Quartos 3 Banheiros,R$ 3.500,"Taguatinga Sul, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/qsd-17-casa-com-4-dormitorios-para-alugar-155-2950441742.html,31-07-20
7,Salas Comerciais em Águas Claras,2 plantas 32 a 35 m² área útil 32 a 35 m² área total,R$ 1.344,"Copaiba 1, Aguas Norte, Águas Claras",,,,,https://www.wimoveis.com.br/propriedades/salas-comerciais-em-aguas-claras-2948976042.html,31-07-20
8,"Apartamento para Aluguel - Setor Leste Universitário, 1 Quarto, 50 m²",50 m² área total 50 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 745,"Rua 237, Setor Leste Universitário, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/apartamento-para-aluguel-setor-leste-universitario-2947652087.html,31-07-20
9,Sala Sia Trecho 02,1800 m² área total 1200 m² área útil 0 Banheiros,R$ 20.000,"Setor Industrial, Distrito Federal",,,,,https://www.wimoveis.com.br/propriedades/sala-sia-trecho-02-2945541804.html,31-07-20
